,open,high,low,close,volume,market_cap,volatility,growth,ma7,ma25,ma99,rsi,std,bb-mb,bb-ub,bb-lb,fr-0.236,fr-0.382,fr-0.5,fr-0.618,macd,signal,obv,label,date,sentiment,gf-index
828,226.76,233.0,217.0,217.21,546866.6851,24162913195.453,0.2839100999536559,-9.549999999999985,240.33714285714285,246.7772,173.96848484848482,52.46838903298185,37.90043384600354,225.9,301.7008676920071,150.09913230799293,255.6972,237.4764,222.75,208.0236,4.514616530325895,9.16478671365454,-3391539.262379992,0.5200000000000102,2020-02-29,1,1.0
829,217.29,227.89,212.36,217.81,715016.01941,24069393931.8345,0.2830996903914252,0.5200000000000102,232.24142857142857,247.3384,174.63484848484848,52.57764119512885,36.2343302311853,227.4961111111111,299.9647715734817,155.0274506487405,257.46956,240.34522,226.505,212.66478,3.2536501748328703,8.090034615686964,-2676523.242969992,14.159999999999997,2020-03-01,1,1.0
830,217.81,234.4,216.07,231.97,810051.4833,25347534007.3968,0.2859393091301854,14.159999999999997,227.4485714285714,248.0896,175.56424242424242,55.08373652290342,34.76525965628982,229.27694444444444,298.8074637570241,159.74642513186478,257.99348,241.19326,227.615,214.03674,2.732501955198927,7.115937768325503,-1866471.759669992,-8.189999999999998,2020-03-02,1,1.0
831,232.1,232.46,219.57,223.91,741498.54825,24681090482.5459,0.2893084775840942,-8.189999999999998,224.19714285714284,248.1128,176.35434343434346,53.43059257936823,33.27197440242939,230.77222222222224,297.31617102708105,164.22827341736345,258.85252,242.58374,229.435,216.28626,1.98029926438835,6.182185313064202,-2607970.307919992,0.4199999999999875,2020-03-03,2,1.0
832,223.84,228.85,220.23,224.26,443780.33772,24688386921.3985,0.2882563605557077,0.4199999999999875,224.24428571428567,248.1612,177.13,53.49293356768242,31.929848517495355,232.12277777777777,295.9824748127685,168.26308074278705,258.85252,242.58374,229.435,216.28626,1.3642260281831398,5.3061927158131,-2164189.9701999915,4.1200000000000045,2020-03-04,2,1.0
833,224.26,234.09,224.23,228.38,601479.87587,25213804821.1574,0.2878824270456812,4.1200000000000045,224.32857142857145,248.1568,177.89525252525254,54.234709642437416,30.332992295325774,233.64111111111112,294.30709570176265,172.97512652045958,260.33224,244.97888,232.57,220.16112,1.0063856267630626,4.524409608713093,-1562710.0943299914,16.5,2020-03-05,[1 2],1.0
834,228.38,245.16,227.33,244.88,628147.3257,26785082138.7094,0.2896366215043789,16.5,226.91714285714284,249.0364,178.84636363636363,57.05618147506769,29.19522062839517,235.3130555555555,293.70349681234586,176.92261429876518,260.33224,244.97888,232.57,220.16112,1.327608024417259,3.943172957022941,-934562.7686299912,-7.700000000000017,2020-03-06,2,1.0
835,244.93,251.93,236.0,237.23,633748.89662,26164459703.9251,0.2904084529991664,-7.700000000000017,229.77714285714288,249.058,179.68131313131315,55.42662331381508,27.6119303220926,236.9030555555555,292.1269161997407,181.6791949113703,261.1842,246.3579,234.375,222.3921,1.287869895224361,3.460390582150472,-1568311.6652499912,-37.79999999999998,2020-03-07,1,1.0
836,237.23,237.23,195.5,199.43,1278973.53741,22079071206.5242,0.3419074323569893,-37.79999999999998,227.15142857142857,246.4056,180.1667676767677,48.4009794092435,26.854479659430424,237.34277777777777,291.0517370966386,183.6338184589169,262.32644,248.20678,236.795,225.38322,-0.1795680674872812,2.798579918579972,-2847285.202659992,3.3799999999999955,2020-03-08,1,1.0
837,199.43,208.62,190.0,202.81,1661331.83553,22224520905.918,0.3413736051556227,3.3799999999999955,222.9857142857143,243.7852,180.6928282828283,48.99559291934776,26.20578058581913,237.74194444444447,290.1535056160827,185.33038327280624,262.43736,248.38632,237.03,225.67368,-1.2418453024650944,2.063957151117232,-1185953.3671299915,-2.0900000000000034,2020-03-09,2,0.0
838,202.79,206.2,195.54,200.7,1020260.107,22093126953.1259,0.3415652753108354,-2.0900000000000034,219.67,240.4072,181.21858585858584,48.63572024000945,25.68810276164915,238.04777777777772,289.4239833010761,186.67157225447943,262.43736,248.38632,237.03,225.67368,-2.1719118080121405,1.293799158548255,-2206213.474129992,-6.129999999999996,2020-03-10,2,0.0
839,200.74,203.18,181.73,194.61,1079824.90167,21446678546.1607,0.3430622210608997,-6.129999999999996,215.4342857142857,237.5964,181.6977777777778,47.59783729952406,25.39244468936716,238.2061111111111,288.9910004898454,187.4212217323768,263.78256,250.56372,239.88,229.19628,-3.135736036674899,0.4884291230531359,-3286038.375799992,-86.79000000000002,2020-03-11,1,0.0
